,crest,impulse,kurtosis,margin,mean,p2p,rms,shape,skewness,std
crest,1.0,0.9441480080068025,0.9998515518825156,0.7100184424724073,-0.10232759817814378,0.7748519212092678,0.5695605719345229,0.8625937596107002,0.9996773189955016,0.5696995779288748
impulse,0.9441480080068025,1.0,0.9455917934489798,0.8247897104559584,-0.061066976457289125,0.8449695655729763,0.6852754908399558,0.9811027813522355,0.9491786897063228,0.6854248224569957
kurtosis,0.9998515518825156,0.9455917934489798,1.0,0.7120987023252882,-0.10154998504587391,0.7765141546594406,0.5717205267952713,0.8647905002088961,0.9998964202725332,0.5718597011251805
margin,0.7100184424724073,0.8247897104559584,0.7120987023252882,1.0,0.3803506671245041,0.9271789261665853,0.894764439231241,0.8495371544957606,0.7137965502710859,0.8948277384372709
mean,-0.10232759817814378,-0.061066976457289125,-0.10154998504587391,0.3803506671245041,1.0,0.4821501423917189,0.6716357546405696,-0.03417312277446517,-0.10670253121093992,0.6714785530758354
p2p,0.7748519212092678,0.8449695655729763,0.7765141546594406,0.9271789261665853,0.4821501423917189,1.0,0.9608936947717925,0.8421888883675069,0.7768654885583439,0.9609404617514109
rms,0.5695605719345229,0.6852754908399558,0.5717205267952713,0.894764439231241,0.6716357546405696,0.9608936947717925,1.0,0.7174645445508694,0.5722611201666276,0.9999999774916274
shape,0.8625937596107002,0.9811027813522355,0.8647905002088961,0.8495371544957606,-0.03417312277446517,0.8421888883675069,0.7174645445508694,1.0,0.8704035251320976,0.7176123099081332
skewness,0.9996773189955016,0.9491786897063228,0.9998964202725332,0.7137965502710859,-0.10670253121093992,0.7768654885583439,0.5722611201666276,0.8704035251320976,1.0,0.5724018711326426
std,0.5696995779288748,0.6854248224569957,0.5718597011251805,0.8948277384372709,0.6714785530758354,0.9609404617514109,0.9999999774916274,0.7176123099081332,0.5724018711326426,1.0
